DATE;NOM;GENRE;HOMME;FEMME;AGE;AGE2;DOMICILE;ADRESSE;PERP;LIEU;MULTIPLE;BLESSÉS;ESPACE PUBLIC;LOCALISATION POST-MORTEM;CALCINÉS;CAUSE DU DÉCÈS;FUSILLADE;ATTACHÉ;TRACES DE TORTURE;MUTILATION;ENCOBIJADO/ENTEIPADO;MESSAGE;QUALIFICATION;ORIGINE DU DÉFUNT;COMMENTAIRE
16-Jan;0;0;0;0;0;;;;0;RECINTO FISCAL;0;0;1;1;0;1;0;1;0;0;0;0;1;;ATTACHÉ PIEDS ET MAINS
17-Jan;0;0;0;0;0;;;;1;CARRETERA INTERNACIONAL, IMURIS;0;OUI;1;0;0;5;0;0;0;0;0;0;0;;"DEUX MILITAIRES ET UN SICARIO; ACCIDENT DE VOITURE"
17-Jan;0;0;0;0;0;;;;1;CARRETERA INTERNACIONAL, IMURIS;0;;1;0;0;5;0;0;0;0;0;0;0;;
17-Jan;0;0;0;0;0;;;;1;CARRETERA INTERNACIONAL, IMURIS;0;;1;0;0;5;0;0;0;0;0;0;0;;
18-Jan;0;1;1;0;0;;;;0;C. DE LA VIRGEN, LOMAS DE FÁTIMA;0;0;1;1;0;1;0;0;0;0;0;0;1;;"DESCRIPTION PHYS. ET VÊTEMENTS; TATOUAGE"
25-Jan;1;1;1;0;1;20;;;0;VÍA CALETI, LOMAS DE FÁTIMA;1;0;1;2;0;0;0;0;1;1;0;1;0;SINALOA;"DÉCAPITÉS, PEINTS DE ""XXX"", POLLEROS D'APRÈS LA PGJE"
25-Jan;1;1;1;0;1;23;;;0;VÍA CALETI, LOMAS DE FÁTIMA;1;0;1;2;0;0;0;0;1;1;0;1;0;SINALOA;
26-Jan;0;0;0;0;0;0;;;0;C. LUIS BASURTO, COL. OBRERA;0;0;1;0;0;1;0;0;0;0;0;0;1;;
27-Jan;1;1;1;0;1;34;;;0;RUMBO VECINAL POR RANCHO LA ESCONDIDA;0;0;1;1;0;0;0;1;0;0;0;1;0;;"ATTACHÉ PIEDS ET MAINS; MESSAGE CONTRE BAJADORES"
29-Jan;1;1;1;0;1;33;;;0;C. ANDADOR 9 Y GREGORIO RUIZ, ENCINOS;0;0;1;1;0;0;0;1;0;0;1;0;0;;"ATTACHÉ PIEDS ET MAINS; DESCRIPTION VÊTEMENTS"
31-Jan;1;1;1;0;1;27;;;0;;1;0;0;0;0;0;0;1;1;1;1;0;0;;ATTACHÉ PIEDS ET MAINS, MUTILATION SEXUELLE, VISAGE ENTEIPADO
31-Jan;1;1;1;0;1;30;;;0;;1;0;0;0;0;0;0;1;1;1;1;0;0;;ATTACHÉ PIEDS ET MAINS, MUTILATION SEXUELLE, VISAGE ENTEIPADO
31-Jan;0;0;0;0;0;;;;0;RANCHO LOS ALISEOS, EJIDO MASCARÑAS;1;0;1;2;1;0;0;0;0;0;0;0;0;;BRULÉS DANS VÉHICULE
31-Jan;0;0;0;0;0;;;;0;RANCHO LOS ALISEOS, EJIDO MASCARÑAS;1;0;1;2;1;0;0;0;0;0;0;0;0;;
31-Jan;0;0;0;0;0;;;;0;RANCHO LOS ALISEOS, EJIDO MASCARÑAS;1;0;1;2;1;0;0;0;0;0;0;0;0;;
31-Jan;0;0;0;0;0;;;;0;RANCHO LOS ALISEOS, EJIDO MASCARÑAS;1;0;1;2;1;0;0;0;0;0;0;0;0;;
02-Feb;1;1;1;0;1;32;1;Col. Lomas Dos;0;COL. EL MANANTIAL, POR RECINTO FISCAL;0;0;1;1;0;1;0;0;0;0;0;0;0;;
